ERBB2	2064
ERBB3	2065
ERBB4	2066
ERCC1	2067
ERCC2	2068
EREG	2069
EYA4	2070
ERCC3	2071
ERCC4	2072
ERCC5	2073
ERCC6	2074
ERCM1	2076
ERF	2077
ERG	2078
ERH	2079
ERN1	2081
ERPL1	2082
ERPL2	2083
ERV3-1	2086
ESA4	2090
FBL	2091
ESAT	2096
ESB3	2097
ESD	2098
ESR1	2099
ESR2	2100
ESRRA	2101
ESRRB	2103
ESRRG	2104
ETF1	2107
ETFA	2108
ETFB	2109
ETFDH	2110
ETM2	2112
ETS1	2113
ETS2	2114
ETV1	2115
ETV2	2116
ETV3	2117
ETV4	2118
ETV5	2119
ETV6	2120
EVC	2121
MECOM	2122
EVI2A	2123
EVI2B	2124
EVPL	2125
EVX1	2128
EWSR1	2130
EXT1	2131
EXT2	2132
EXT3	2133
SERPING1	710
C3orf51	711
C1QA	712
C1QB	713
C1QC	714
C1R	715
C1S	716
C2	717
C3	718
C3AR1	719
C4A	720
C4B	721
C4BPA	722
C4BPAP2	724
C4BPB	725
CAPN5	726
C5	727
C5AR1	728
C6	729
C7	730
C8A	731
C8B	732
C8G	733
OSGIN2	734
C9	735
C11orf2	738
MRPL49	740
ZNHIT2	741
MPPED2	744
C11orf9	745
C11orf10	746
DAGLA	747
C16orf3	750
FMNL1	752
C18orf1	753
PTTG1IP	754
C21orf2	755
TMEM50B	757
MPPED1	758
CA1	759
CA2	760
CA3	761
CA4	762
CA5A	763
CA5P	764
CA6	765
CA7	766
CA8	767
CA9	768
CA11	770
CA12	771
CACD	772
CACNA1A	773
CACNA1B	774
CACNA1C	775
DFN4	1680
DFN5	1681
DFN6	1682
DFN8	1684
DFNA5	1687
DFNA7	1689
COCH	1690
DFNA16	1694
DFNA19	1696
DFNB5	1697
DFNB13	1705
DFNB14	1706
DFNB17	1709
DFNB19	1712
DFNB20	1713
DGCR	1714
DGUOK	1716
DHCR7	1717
DHCR24	1718
DHFR	1719
LOC1720	1720
DHODH	1723
DHPS	1725
CYB5R3	1727
NQO1	1728
DIAPH1	1729
DIAPH2	1730
SEPT1	1731
DIH1	1732
DIO1	1733
DIO2	1734
DIO3	1735
DKC1	1736
DLAT	1737
DLD	1738
DLG1	1739
DLG2	1740
DLG3	1741
DLG4	1742
DOCK2	1794
DLST	1743
DLSTP1	1744
DLX1	1745
DLX2	1746
DLX3	1747
DLX4	1748
DLX5	1749
DLX6	1750
DMBT1	1755
DMD	1756
SARDH	1757
DMP1	1758
DNM1	1759
DMPK	1760
DMRT1	1761
DMWD	1762
DNA2	1763
DNAH5	1767
EXTL1	2134
EXTL2	2135
EXTL3	2137
EYA1	2138
EYA2	2139
EYA3	2140
EYCL1	2141
EZH1	2145
EZH2	2146
F2	2147
F2R	2149
F2RL1	2150
F2RL2	2151
F3	2152
F5	2153
F7	2155
F7R	2156
F8	2157
F9	2158
F10	2159
F11	2160
F12	2161
F13A1	2162
F13B	2165
FAAH	2166
FABP4	2167
FABP1	2168
FABP2	2169
FABP3	2170
FABP5	2171
FABP6	2172
FABP7	2173
FANCA	2175
FANCC	2176
FANCD2	2177
FANCE	2178
ACSL1	2180
ACSL3	2181
ACSL4	2182
FAH	2184
PTK2B	2185
BPTF	2186
FANCB	2187
FANCF	2188
FANCG	2189
FAP	2191
FBLN1	2192
FARSA	2193
FASN	2194
FAT1	2195
FAT2	2196
FAU	2197
CACNA1D	776
CACNA1E	777
CACNA1F	778
CACNA1S	779
DDR1	780
CACNA2D1	781
CACNB1	782
CACNB2	783
APBB1	322
APBB2	323
APC	324
APCS	325
AIRE	326
APEH	327
APEX1	328
BIRC2	329
BIRC3	330
XIAP	331
BIRC5	332
APLP1	333
APLP2	334
APOA1	335
APOA2	336
APOA4	337
APOB	338
APOBEC1	339
APOC1	341
APOC1P1	342
AQP8	343
APOC2	344
APOC3	345
APOC4	346
APOD	347
APOE	348
APOH	350
APP	351
APRT	353
KLK3	354
FAS	355
FASLG	356
SHROOM2	357
AQP1	358
AQP2	359
AQP3	360
AQP4	361
AQP5	362
AQP6	363
AQP7	364
AQP9	366
AR	367
ABCC6	368
ARAF	369
ARCN1	372
TRIM23	373
AREG	374
ARF1	375
ARF3	377
DNAH6	1768
DNAH8	1769
DNAH9	1770
DNASE1	1773
DNASE1L1	1774
DNASE1L2	1775
DNASE1L3	1776
DNASE2	1777
DYNC1H1	1778
DYNC1I1	1780
DYNC1I2	1781
DYNC1LI2	1783
DNCM	1784
DNM2	1785
DNMT1	1786
TRDMT1	1787
DNMT3A	1788
DNMT3B	1789
DNTT	1791
DOCK1	1793
DOCK3	1795
DOK1	1796
DOM3Z	1797
DPAGT1	1798
DPEP1	1800
DPH1	1801
DPH2	1802
DPP4	1803
DPP6	1804
DPT	1805
DPYD	1806
DPYS	1807
DPYSL2	1808
DPYSL3	1809
DR1	1810
SLC26A3	1811
DRD1	1812
DRD2	1813
DRD3	1814
DRD4	1815
DRD5	1816
DRD5P1	1817
DRD5P2	1818
DRG2	1819
ARID3A	1820
DRP2	1821
ATN1	1822
DSC1	1823
DSC2	1824
DSC3	1825
DSCAM	1826
RCAN1	1827
DSG1	1828
DSG2	1829
DSG3	1830
TSC22D3	1831
DSP	1832
EPYC	1833
FBLN2	2199
FBN1	2200
FBN2	2201
EFEMP1	2202
FBP1	2203
FCAR	2204
FCER1A	2205
MS4A2	2206
FCER1G	2207
FCER2	2208
FCGR1A	2209
FCGR1B	2210
FCGR2A	2212
FCGR2B	2213
FCGR3A	2214
FCGR3B	2215
FDX1P2	2216
FCGRT	2217
FKTN	2218
FCN1	2219
FCN2	2220
FCP1	2221
FDFT1	2222
FDPS	2224
FDPSP3	2227
FDPSP4	2228
FDPSP5	2229
FDX1	2230
FDX1P1	2231
FDXR	2232
FEB1	2233
FEB2	2234
FECH	2235
FECHP1	2236
FEN1	2237
GPC4	2239
FER	2241
FES	2242
FGA	2243
FGB	2244
FGD1	2245
FGF1	2246
FGF2	2247
FGF3	2248
FGF4	2249
FGF5	2250
FGF6	2251
FGF7	2252
FGF8	2253
FGF9	2254
FGF10	2255
FGF11	2256
FGF12	2257
FGF13	2258
ARF4	378
ARL4D	379
ARF4P1	380
ARF5	381
ARF6	382
ARG1	383
ARG2	384
RHOA	387
RHOB	388
RHOC	389
RND3	390
RHOG	391
ARHGAP1	392
ARHGAP4	393
ARHGAP5	394
ARHGAP6	395
ARHGDIA	396
ARHGDIB	397
ARHGDIG	398
RHOH	399
ARL1	400
PHOX2A	401
ARL2	402
ARL3	403
ARNT	405
ARNTL	406
ARR3	407
ARRB1	408
ARRB2	409
ARSA	410
ARSB	411
STS	412
ARSC2	413
ARSD	414
ARSE	415
ARSF	416
ART1	417
ART2P	418
ART3	419
ART4	420
ARVCF	421
ARVD3	424
ARVD4	425
ASAH1	427
ASCL1	429
ASCL2	430
ASD1	431
ASGR1	432
ASGR2	433
ASIP	434
ASL	435
ASLP1	436
ASMD	437
ASMT	438
ASNA1	439
ASNS	440
ASNSP2	442
DSPP	1834
ENUR1	2031
SLC26A2	1836
DTNA	1837
DTNB	1838
HBEGF	1839
DTX1	1840
DTYMK	1841
ECM2	1842
DUSP1	1843
DUSP2	1844
DUSP3	1845
DUSP4	1846
DUSP5	1847
DUSP6	1848
DUSP7	1849
DUSP8	1850
DUSP8P	1851
DUSP9	1852
DUT	1854
DVL1	1855
DVL2	1856
DVL3	1857
DWS	1858
DYRK1A	1859
TOR1A	1861
DYT2	1862
DYT4	1864
DYT7	1866
DYX1	1867
E2F1	1869
E2F2	1870
E2F3	1871
E2F3P1	1872
E2F4	1874
E2F5	1875
E2F6	1876
E4F1	1877
E11S	1878
EBF1	1879
GPR183	1880
EBM	1881
EBR3	1884
EBR4	1885
EBVS1	1888
ECE1	1889
TYMP	1890
ECH1	1891
ECHS1	1892
ECM1	1893
ECT2	1894
EDA	1896
S1PR1	1901
LPAR1	1902
S1PR3	1903
EDN1	1906
EDN2	1907
FGF14	2259
FGFR1	2260
FGFR3	2261
GPC5	2262
FGFR2	2263
FGFR4	2264
FGFR6	2265
FGG	2266
FGL1	2267
FGR	2268
FGS2	2270
FH	2271
FHIT	2272
FHL1	2273
FHL2	2274
FHL3	2275
FIGF	2277
FIM1	2278
FIM3	2279
FKBP1A	2280
FKBP1B	2281
FKBP1AP1	2282
FKBP1AP2	2283
FKBP1AP3	2284
FKBP1AP4	2285
FKBP2	2286
FKBP3	2287
FKBP4	2288
FKBP5	2289
FOXG1	2290
FOXF1	2294
FOXF2	2295
FOXC1	2296
FOXD1	2297
FOXD4	2298
FOXI1	2299
FOXL1	2300
FOXE3	2301
FOXJ1	2302
FOXC2	2303
FOXE1	2304
FOXM1	2305
FOXD2	2306
FOXS1	2307
FOXO1	2308
FOXO3	2309
FOXO3B	2310
FOXO1B	2311
FLG	2312
FLI1	2313
FLII	2314
MLANA	2315
FLNA	2316
FLNB	2317
FLNC	2318
FLOT2	2319
FLT1	2321
FLT3	2322
FLT3LG	2323
FLT4	2324
ASPA	443
ASPH	444
ASS1	445
ASS1P2	447
ASS1P4	449
ASS1P5	450
ASS1P6	451
ASS1P8	453
ASS1P9	454
ASS1P10	455
ASS1P14	459
ASTN1	460
SERPINC1	462
ZFHX3	463
ATD	465
ATF1	466
ATF3	467
ATF4	468
ATF4P1	469
ATHS	470
ATIC	471
ATM	472
RERE	473
ATOH1	474
ATOX1	475
ATP1A1	476
ATP1A2	477
ATP1A3	478
ATP12A	479
ATP1A4	480
ATP1B1	481
ATP1B2	482
ATP1B3	483
ATP1B3P1	484
ATP1B1P1	485
FXYD2	486
ATP2A1	487
ATP2A2	488
ATP2A3	489
ATP2B1	490
ATP2B2	491
ATP2B3	492
